video_id,gloss_latency(s),text_latency(s),tts_latency(s),total_latency(s),pred_text,audio_path
sample_26,0.04,0.032,0.595,0.668,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_26.mp3
sample_27,0.045,0.01,0.513,0.569,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_27.mp3
sample_28,0.057,0.03,0.566,0.654,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_28.mp3
sample_29,0.027,0.05,1.139,1.215,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir noch auch noch am wärmsten haben wir haben wir auch noch auch auch am wärmsten haben wir auch auch im norden haben wir auch auch im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_29.mp3
sample_30,0.025,0.048,0.32,0.393,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_30.mp3
sample_31,0.073,0.032,0.723,0.828,aber auch tagsüber haben wir auch am am wärmsten im norden haben wir haben wir haben wir noch noch am haben wir haben wir auch noch auch auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_31.mp3
sample_32,0.053,0.029,0.448,0.531,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_32.mp3
sample_33,0.052,0.01,0.278,0.34,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_33.mp3
sample_34,0.033,0.027,0.431,0.49,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_34.mp3
sample_35,0.047,0.01,0.207,0.264,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_35.mp3
sample_36,0.027,0.013,0.203,0.243,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_36.mp3
sample_37,0.024,0.018,0.41,0.454,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_37.mp3
sample_38,0.041,0.023,0.702,0.766,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_38.mp3
sample_39,0.025,0.016,0.311,0.352,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_39.mp3
sample_40,0.021,0.029,0.253,0.303,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_40.mp3
sample_41,0.027,0.01,0.211,0.248,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_41.mp3
sample_42,0.016,0.014,0.229,0.259,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_42.mp3
sample_43,0.042,0.024,0.637,0.703,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_43.mp3
sample_44,0.056,0.015,0.251,0.322,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_44.mp3
sample_45,0.04,0.018,0.353,0.412,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_45.mp3
sample_46,0.045,0.01,0.209,0.265,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_46.mp3
sample_47,0.015,0.011,0.192,0.218,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_47.mp3
sample_48,0.019,0.011,0.21,0.24,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_48.mp3
sample_49,0.016,0.031,0.533,0.58,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_49.mp3
sample_50,0.056,0.011,0.209,0.275,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_50.mp3
sample_51,0.033,0.023,0.382,0.438,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_51.mp3
sample_52,0.022,0.011,0.203,0.236,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_52.mp3
sample_53,0.04,0.016,0.282,0.339,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_53.mp3
sample_54,0.028,0.015,0.233,0.276,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_54.mp3
sample_55,0.049,0.044,0.976,1.07,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir noch auch noch am wärmsten haben wir haben wir auch noch auch auch am wärmsten haben wir auch auch im norden haben wir auch auch im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_55.mp3
sample_56,0.025,0.011,0.345,0.383,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_56.mp3
sample_57,0.035,0.015,0.238,0.288,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_57.mp3
sample_58,0.028,0.016,0.228,0.271,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_58.mp3
sample_59,0.031,0.025,0.551,0.607,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_59.mp3
sample_60,0.038,0.011,0.23,0.279,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_60.mp3
sample_61,0.034,0.02,0.243,0.298,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_61.mp3
sample_62,0.025,0.01,0.221,0.257,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_62.mp3
sample_63,0.028,0.014,0.232,0.276,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_63.mp3
sample_64,0.025,0.012,0.222,0.26,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_64.mp3
sample_65,0.072,0.024,0.426,0.523,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_65.mp3
sample_66,0.052,0.022,0.453,0.528,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_66.mp3
sample_67,0.037,0.014,0.269,0.321,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_67.mp3
sample_68,0.043,0.013,0.214,0.271,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_68.mp3
sample_69,0.017,0.009,0.212,0.238,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_69.mp3
sample_70,0.019,0.01,0.225,0.255,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_70.mp3
sample_71,0.025,0.013,0.309,0.347,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_71.mp3
sample_72,0.053,0.023,0.602,0.677,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_72.mp3
sample_73,0.037,0.039,0.834,0.91,aber auch tagsüber haben wir auch am am wärmsten im norden haben wir haben wir haben wir noch noch am haben wir haben wir auch noch auch auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_73.mp3
sample_74,0.04,0.014,0.238,0.292,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_74.mp3
sample_75,0.022,0.016,0.265,0.304,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_75.mp3
sample_76,0.054,0.027,0.556,0.636,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_76.mp3
sample_77,0.047,0.011,0.247,0.305,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_77.mp3
sample_78,0.029,0.01,0.264,0.303,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_78.mp3
sample_79,0.061,0.015,0.244,0.321,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_79.mp3
sample_80,0.035,0.01,0.21,0.256,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_80.mp3
sample_81,0.046,0.024,0.257,0.327,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_81.mp3
sample_82,0.027,0.017,0.24,0.285,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_82.mp3
sample_83,0.089,0.024,0.537,0.65,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_83.mp3
sample_84,0.057,0.019,0.233,0.309,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_84.mp3
sample_85,0.023,0.01,0.238,0.272,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_85.mp3
sample_86,0.032,0.015,0.252,0.3,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_86.mp3
sample_87,0.023,0.009,0.227,0.259,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_87.mp3
sample_88,0.024,0.014,0.23,0.268,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_88.mp3
sample_89,0.039,0.022,0.427,0.487,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_89.mp3
sample_90,0.024,0.033,0.562,0.62,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_90.mp3
sample_91,0.049,0.012,0.236,0.297,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_91.mp3
sample_92,0.043,0.013,0.227,0.284,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_92.mp3
sample_93,0.046,0.017,0.249,0.311,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_93.mp3
sample_94,0.035,0.011,0.207,0.253,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_94.mp3
sample_95,0.019,0.023,0.258,0.301,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_95.mp3
sample_96,0.048,0.021,0.267,0.336,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_96.mp3
sample_97,0.03,0.017,0.252,0.3,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_97.mp3
sample_98,0.045,0.017,0.263,0.326,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_98.mp3
sample_99,0.029,0.026,0.498,0.554,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_99.mp3
sample_100,0.055,0.027,0.48,0.561,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_100.mp3
sample_101,0.036,0.013,0.23,0.279,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_101.mp3
sample_102,0.037,0.014,0.225,0.276,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_102.mp3
sample_103,0.018,0.01,0.216,0.244,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_103.mp3
sample_104,0.025,0.01,0.214,0.248,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_104.mp3
sample_105,0.021,0.009,0.278,0.309,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_105.mp3
sample_106,0.051,0.025,0.612,0.688,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_106.mp3
sample_107,0.073,0.009,0.225,0.307,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_107.mp3
sample_108,0.04,0.013,0.208,0.261,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_108.mp3
sample_109,0.032,0.009,0.208,0.249,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_109.mp3
sample_110,0.023,0.03,0.453,0.507,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_110.mp3
sample_111,0.027,0.014,0.271,0.313,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_111.mp3
sample_112,0.036,0.016,0.34,0.392,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_112.mp3
sample_113,0.024,0.019,0.213,0.256,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_113.mp3
sample_114,0.036,0.066,1.113,1.215,aber am haben wir auch am am haben wir auch im norden haben wir haben wir noch noch am haben wir auch noch auch auch im norden haben wir auch noch nicht haben wir auch noch nicht auch auch auch im norden haben wir auch auch noch nicht haben wir auch auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_114.mp3
sample_115,0.057,0.009,0.209,0.276,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_115.mp3
sample_116,0.024,0.015,0.223,0.262,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_116.mp3
sample_117,0.026,0.013,0.232,0.271,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_117.mp3
sample_118,0.035,0.017,0.343,0.395,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_118.mp3
sample_119,0.033,0.036,0.517,0.588,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_119.mp3
sample_120,0.065,0.015,0.245,0.325,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_120.mp3
sample_121,0.037,0.012,0.243,0.293,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_121.mp3
sample_122,0.054,0.021,0.234,0.309,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_122.mp3
sample_123,0.044,0.01,0.236,0.29,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_123.mp3
sample_124,0.026,0.036,0.496,0.559,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir haben wir auch noch nicht auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_124.mp3
sample_125,0.075,0.022,0.43,0.527,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_125.mp3
sample_126,0.045,0.015,0.222,0.282,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_126.mp3
sample_127,0.036,0.013,0.219,0.268,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_127.mp3
sample_128,0.02,0.024,0.345,0.388,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_128.mp3
sample_129,0.053,0.009,0.231,0.293,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_129.mp3
sample_130,0.059,0.026,0.471,0.556,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir auch im norden haben wir haben wir auch noch nicht,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_130.mp3
sample_131,0.069,0.054,1.123,1.247,aber auch am haben wir auch am am wärmsten im norden haben wir haben wir haben wir noch noch auch am haben wir haben wir noch auch noch am wärmsten haben wir auch noch nicht auch auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_131.mp3
sample_132,0.046,0.012,0.237,0.295,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_132.mp3
sample_133,0.02,0.008,0.214,0.242,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_133.mp3
sample_134,0.023,0.013,0.226,0.263,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_134.mp3
sample_135,0.029,0.013,0.223,0.265,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_135.mp3
sample_136,0.03,0.01,0.212,0.252,am alpenrand ist es dann noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_136.mp3
sample_137,0.026,0.013,0.203,0.242,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_137.mp3
sample_138,0.016,0.01,0.199,0.233,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_138.mp3
sample_139,0.024,0.014,0.209,0.247,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_139.mp3
sample_140,0.021,0.01,0.221,0.254,dazu haben wir auch tagsüber noch es überall noch,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_140.mp3
sample_141,0.027,0.016,0.218,0.262,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_141.mp3
sample_142,0.028,0.018,0.235,0.282,wir haben wir auch am wärmsten im süden auch es auch wieder warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_142.mp3
sample_143,0.026,0.016,0.227,0.27,wir haben wir auch noch es überall noch kalt im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_143.mp3
sample_144,0.036,0.011,0.218,0.265,dazu haben wir noch überall überall noch drei grad,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_144.mp3
sample_145,0.029,0.03,0.484,0.542,aber auch tagsüber auch im norden haben wir auch im norden haben wir haben wir haben wir auch im norden haben wir auch noch nicht auch auch warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_145.mp3
sample_146,0.05,0.024,0.549,0.622,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_146.mp3
sample_147,0.05,0.023,0.294,0.366,aber tagsüber haben wir auch am wärmsten im süden auch im norden haben wir auch noch nicht ganz warm,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_147.mp3
sample_148,0.049,0.026,0.467,0.541,aber wir haben wir auch am wärmsten im süden auch im süden auch haben wir auch noch nicht ganz im norden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_148.mp3
sample_149,0.035,0.01,0.224,0.269,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_149.mp3
sample_150,0.029,0.017,0.268,0.313,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_150.mp3
sample_151,0.061,0.013,0.249,0.324,wir haben wir auch noch es auch im süden auch ganz im süden,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_151.mp3
sample_152,0.045,0.01,0.208,0.262,sonst sind es dann noch überall überall,D:\Graduate Project\F\results_baseline\tts_outputs_baseline\sample_152.mp3
